Agent,Seed,Heuristic,Solved,HNode,LNode,Time,Makespan,SOC,SOL
50,37,neighbour,1, 51, 222, 31, 50, 1282, 1153
50,38,ML,1, 48, 210, 31, 47, 1213, 1140
50,38,distance,1, 48, 217, 32, 47, 1221, 1147
50,38,conflict,1, 50, 235, 32, 49, 1188, 1146
50,38,neighbour,1, 51, 229, 32, 50, 1206, 1155
50,39,ML,1, 46, 216, 31, 45, 1289, 1203
50,39,distance,1, 46, 208, 66, 45, 1269, 1192
50,39,conflict,1, 48, 223, 31, 47, 1312, 1212
50,39,neighbour,1, 58, 252, 31, 56, 1390, 1308
50,40,ML,1, 44, 197, 31, 43, 1257, 1086
50,40,distance,1, 44, 198, 32, 43, 1149, 1063
50,40,conflict,1, 44, 205, 31, 43, 1246, 1084
50,40,neighbour,1, 47, 207, 50, 46, 1213, 1076
50,41,ML,1, 46, 216, 32, 45, 1311, 1183
50,41,distance,1, 45, 203, 54, 44, 1267, 1165
50,41,conflict,1, 51, 233, 31, 50, 1281, 1151
50,41,neighbour,1, 49, 219, 31, 48, 1393, 1215
50,42,ML,1, 43, 190, 31, 42, 1089, 1019
50,42,distance,1, 43, 189, 32, 42, 1128, 1052
50,42,conflict,1, 59, 324, 57, 52, 1172, 1080
50,42,neighbour,1, 61, 373, 32, 52, 1146, 1086
50,43,ML,1, 43, 198, 31, 42, 1254, 1170
50,43,distance,1, 43, 196, 55, 42, 1259, 1177
50,43,conflict,1, 45, 207, 31, 44, 1259, 1164
50,43,neighbour,1, 63, 293, 31, 60, 1282, 1184
50,44,ML,1, 42, 193, 66, 41, 1228, 1148
50,44,distance,1, 42, 197, 57, 41, 1201, 1141
50,44,conflict,1, 43, 192, 32, 42, 1250, 1159
50,44,neighbour,1, 44, 205, 31, 43, 1224, 1133
50,45,ML,1, 49, 216, 31, 48, 1276, 1180
50,45,distance,1, 48, 217, 32, 47, 1271, 1205
50,45,conflict,1, 48, 219, 31, 47, 1307, 1201
50,45,neighbour,1, 48, 203, 32, 47, 1342, 1240
50,46,ML,1, 46, 220, 32, 45, 1305, 1209
50,46,distance,1, 46, 214, 50, 45, 1277, 1175
50,46,conflict,1, 46, 219, 31, 45, 1217, 1165
50,46,neighbour,1, 46, 210, 31, 45, 1254, 1182
50,47,ML,1, 51, 231, 32, 50, 1427, 1327
50,47,distance,1, 51, 233, 32, 50, 1477, 1350
50,47,conflict,1, 65, 299, 32, 63, 1507, 1402
50,47,neighbour,1, 89, 462, 33, 77, 1703, 1539
50,48,ML,1, 47, 224, 31, 46, 1364, 1253
50,48,distance,1, 49, 222, 31, 48, 1343, 1263
50,48,conflict,1, 49, 234, 31, 47, 1355, 1264
50,48,neighbour,1, 47, 213, 31, 46, 1361, 1256
50,49,ML,1, 54, 250, 31, 53, 1278, 1232
50,49,distance,1, 54, 244, 32, 53, 1310, 1223
50,49,conflict,1, 61, 278, 32, 60, 1322, 1248
50,49,neighbour,1, 76, 360, 32, 73, 1454, 1339
50,50,ML,1, 48, 213, 53, 47, 1509, 1391
50,50,distance,1, 52, 240, 56, 51, 1513, 1403
50,50,conflict,1, 55, 254, 49, 54, 1556, 1423
50,50,neighbour,1, 52, 237, 49, 51, 1522, 1394
50,51,ML,1, 44, 202, 32, 43, 1157, 1115
50,51,distance,1, 44, 202, 56, 43, 1189, 1149
50,51,conflict,1, 48, 220, 55, 47, 1263, 1164
50,51,neighbour,1, 44, 193, 32, 43, 1172, 1140
50,52,ML,1, 48, 215, 57, 46, 1145, 1063
50,52,distance,1, 45, 198, 31, 44, 1155, 1025
50,52,conflict,1, 46, 209, 32, 45, 1141, 1025
50,52,neighbour,1, 55, 240, 31, 54, 1222, 1123
50,53,ML,1, 56, 249, 31, 55, 1463, 1371
50,53,distance,1, 56, 254, 31, 55, 1449, 1337
50,53,conflict,1, 58, 266, 31, 57, 1467, 1336
50,53,neighbour,1, 56, 249, 50, 55, 1410, 1318
50,54,ML,1, 45, 207, 53, 44, 1247, 1140
50,54,distance,1, 44, 202, 31, 43, 1264, 1149
50,54,conflict,1, 50, 222, 54, 49, 1283, 1155
50,54,neighbour,1, 57, 251, 31, 53, 1338, 1200
50,55,ML,1, 43, 188, 32, 42, 1456, 1374
50,55,distance,1, 42, 197, 31, 41, 1463, 1361
50,55,conflict,1, 46, 202, 31, 45, 1446, 1357
50,55,neighbour,1, 81, 376, 32, 79, 1666, 1499
50,56,ML,1, 47, 211, 32, 46, 1251, 1149
50,56,distance,1, 47, 213, 51, 46, 1297, 1190
50,56,conflict,1, 47, 212, 31, 46, 1252, 1156
50,56,neighbour,1, 58, 256, 50, 57, 1355, 1224
50,57,ML,1, 57, 267, 32, 56, 1322, 1157
50,57,distance,1, 57, 265, 31, 56, 1462, 1205
50,57,conflict,1, 79, 383, 52, 73, 1589, 1276
50,57,neighbour,1, 82, 392, 32, 79, 1600, 1348
50,58,ML,1, 54, 243, 51, 53, 1278, 1176
50,58,distance,1, 54, 243, 55, 53, 1227, 1155
50,58,conflict,1, 54, 247, 31, 53, 1241, 1164
50,58,neighbour,1, 55, 249, 31, 54, 1237, 1160
50,59,ML,1, 45, 203, 32, 44, 1204, 1122
50,59,distance,1, 45, 208, 31, 44, 1174, 1105
50,59,conflict,1, 45, 205, 31, 44, 1184, 1100
50,59,neighbour,1, 45, 200, 32, 44, 1212, 1111
50,60,ML,1, 48, 227, 55, 47, 1243, 1146
50,60,distance,1, 48, 228, 31, 47, 1221, 1141
50,60,conflict,1, 48, 219, 31, 47, 1275, 1169
50,60,neighbour,1, 65, 300, 31, 63, 1313, 1242
50,61,ML,1, 54, 251, 30, 53, 1318, 1170
50,61,distance,1, 54, 247, 31, 53, 1342, 1167
50,61,conflict,1, 57, 269, 57, 56, 1347, 1192
50,61,neighbour,1, 58, 256, 32, 56, 1299, 1195
50,62,ML,1, 49, 224, 51, 48, 1305, 1181
50,62,distance,1, 47, 217, 52, 46, 1272, 1188
50,62,conflict,1, 47, 206, 31, 46, 1258, 1155
50,62,neighbour,1, 54, 245, 31, 52, 1294, 1199
50,63,ML,1, 48, 218, 53, 47, 1231, 1090
50,63,distance,1, 48, 221, 31, 47, 1259, 1117
50,63,conflict,1, 49, 217, 31, 48, 1277, 1117
50,63,neighbour,1, 60, 280, 55, 58, 1268, 1131
50,64,ML,1, 51, 229, 50, 50, 1287, 1209
50,64,distance,1, 51, 229, 53, 50, 1293, 1235
50,64,conflict,1, 51, 227, 54, 50, 1331, 1216
50,64,neighbour,1, 75, 358, 32, 73, 1441, 1347
50,65,ML,1, 60, 284, 32, 57, 1219, 1142
50,65,distance,1, 51, 236, 31, 50, 1183, 1091
50,65,conflict,1, 53, 238, 54, 52, 1200, 1077
50,65,neighbour,1, 51, 237, 32, 50, 1241, 1096
50,66,ML,1, 43, 201, 54, 42, 1129, 1061
50,66,distance,1, 42, 194, 49, 41, 1118, 1075
50,66,conflict,1, 47, 220, 31, 46, 1143, 1085
50,66,neighbour,1, 57, 262, 32, 56, 1231, 1159
50,67,ML,1, 51, 229, 52, 50, 1396, 1253
50,67,distance,1, 51, 225, 53, 50, 1342, 1229
50,67,conflict,1, 53, 246, 49, 52, 1415, 1254
50,67,neighbour,1, 52, 225, 53, 51, 1388, 1241
50,68,ML,1, 42, 185, 32, 41, 1283, 1217
50,68,distance,1, 42, 187, 31, 41, 1228, 1214
50,68,conflict,1, 42, 184, 48, 41, 1245, 1216
50,68,neighbour,1, 52, 230, 32, 51, 1312, 1248
50,69,ML,1, 45, 204, 50, 44, 1246, 1170
50,69,distance,1, 45, 207, 31, 44, 1207, 1160
50,69,conflict,1, 69, 333, 32, 65, 1339, 1298
50,69,neighbour,1, 74, 364, 32, 69, 1415, 1327
50,70,ML,1, 43, 193, 32, 42, 1132, 1075
50,70,distance,1, 45, 215, 31, 44, 1200, 1102
50,70,conflict,1, 53, 271, 49, 47, 1211, 1106
50,70,neighbour,1, 69, 335, 57, 64, 1226, 1142
50,71,ML,1, 49, 233, 32, 48, 1153, 1058
50,71,distance,1, 49, 225, 54, 48, 1197, 1070
50,71,conflict,1, 49, 227, 29, 48, 1226, 1088
50,71,neighbour,1, 49, 221, 53, 48, 1241, 1099
50,72,ML,1, 59, 271, 32, 58, 1278, 1203
50,72,distance,1, 58, 264, 32, 57, 1339, 1242
50,72,conflict,1, 59, 268, 32, 58, 1269, 1203
50,72,neighbour,1, 64, 287, 52, 63, 1432, 1293
50,73,ML,1, 44, 197, 31, 43, 1230, 1144
50,73,distance,1, 46, 204, 31, 45, 1316, 1214
50,73,conflict,1, 51, 228, 31, 50, 1332, 1176
50,73,neighbour,1, 58, 291, 31, 54, 1379, 1249
50,74,ML,1, 55, 253, 32, 54, 1414, 1265
50,74,distance,1, 55, 250, 31, 54, 1413, 1281
50,74,conflict,1, 91, 466, 33, 83, 1461, 1363
50,74,neighbour,1, 87, 388, 33, 82, 1617, 1446
50,75,ML,1, 51, 231, 31, 50, 1320, 1171
50,75,distance,1, 51, 230, 31, 50, 1262, 1154
50,75,conflict,1, 83, 367, 51, 79, 1421, 1316
50,75,neighbour,1, 51, 231, 32, 50, 1350, 1177
50,76,ML,1, 51, 224, 31, 50, 1317, 1177
50,76,distance,1, 51, 233, 32, 50, 1250, 1148
50,76,conflict,1, 52, 238, 31, 51, 1352, 1191
50,76,neighbour,1, 51, 230, 31, 50, 1254, 1169
50,77,ML,1, 38, 168, 31, 37, 1130, 1094
50,77,distance,1, 38, 171, 32, 37, 1163, 1110
50,77,conflict,1, 38, 163, 32, 37, 1206, 1130
50,77,neighbour,1, 50, 220, 51, 48, 1167, 1141
50,78,ML,1, 44, 201, 51, 43, 1177, 1089
50,78,distance,1, 44, 202, 50, 43, 1160, 1071
50,78,conflict,1, 47, 221, 56, 46, 1176, 1088
50,78,neighbour,1, 70, 348, 32, 65, 1312, 1226
50,79,ML,1, 42, 191, 31, 41, 1134, 1022
50,79,distance,1, 38, 170, 32, 37, 1163, 1041
50,79,conflict,1, 50, 305, 32, 41, 1149, 1040
50,79,neighbour,1, 38, 170, 54, 37, 1144, 1035
50,80,ML,1, 53, 249, 31, 52, 1366, 1243
50,80,distance,1, 55, 256, 54, 54, 1422, 1250
50,80,conflict,1, 86, 410, 33, 79, 1536, 1379
50,80,neighbour,1, 86, 411, 73, 81, 1672, 1405
50,81,ML,1, 44, 194, 52, 43, 1375, 1175
50,81,distance,1, 42, 181, 31, 41, 1326, 1155
50,81,conflict,1, 46, 197, 56, 45, 1353, 1177
50,81,neighbour,1, 63, 259, 32, 60, 1435, 1271
50,82,ML,1, 49, 221, 32, 48, 1278, 1100
50,82,distance,1, 49, 221, 31, 48, 1289, 1116
50,82,conflict,1, 49, 222, 32, 48, 1258, 1091
50,82,neighbour,1, 52, 227, 32, 51, 1243, 1109
50,83,ML,1, 44, 203, 32, 43, 1273, 1210
50,83,distance,1, 44, 204, 31, 43, 1264, 1202
50,83,conflict,1, 44, 198, 31, 43, 1246, 1198
50,83,neighbour,1, 45, 199, 32, 44, 1310, 1222
50,84,ML,1, 50, 229, 32, 49, 1327, 1174
50,84,distance,1, 54, 267, 31, 51, 1407, 1214
50,84,conflict,1, 49, 220, 56, 48, 1325, 1183
50,84,neighbour,1, 74, 339, 52, 68, 1515, 1333
50,85,ML,1, 45, 194, 31, 44, 1235, 1122
50,85,distance,1, 45, 209, 31, 44, 1272, 1137
50,85,conflict,1, 54, 247, 55, 53, 1275, 1137
50,85,neighbour,1, 48, 211, 51, 47, 1257, 1136
50,86,ML,1, 46, 213, 31, 45, 1291, 1183
50,86,distance,1, 46, 215, 56, 45, 1352, 1223
50,86,conflict,1, 46, 216, 31, 45, 1370, 1210
50,86,neighbour,1, 46, 205, 31, 45, 1281, 1173
50,87,ML,1, 50, 228, 31, 49, 1279, 1195
50,87,distance,1, 50, 233, 31, 49, 1243, 1196
50,87,conflict,1, 64, 315, 32, 60, 1291, 1228
50,87,neighbour,1, 66, 335, 32, 59, 1312, 1232
50,88,ML,1, 45, 217, 55, 44, 1309, 1212
50,88,distance,1, 45, 213, 32, 44, 1263, 1213
50,88,conflict,1, 47, 219, 32, 46, 1252, 1202
50,88,neighbour,1, 47, 218, 31, 46, 1300, 1244
50,89,ML,1, 40, 174, 51, 39, 1149, 1064
50,89,distance,1, 40, 175, 30, 39, 1116, 1063
50,89,conflict,1, 54, 254, 53, 52, 1111, 1043
50,89,neighbour,1, 45, 200, 55, 44, 1166, 1078
50,90,ML,1, 54, 245, 56, 53, 1180, 1126
50,90,distance,1, 54, 232, 31, 53, 1196, 1106
50,90,conflict,1, 56, 250, 74, 55, 1177, 1107
50,90,neighbour,1, 137, 639, 33, 127, 1755, 1490
50,91,ML,1, 50, 230, 31, 49, 1384, 1282
50,91,distance,1, 50, 231, 31, 49, 1400, 1282
50,91,conflict,1, 61, 290, 52, 58, 1397, 1308
50,91,neighbour,1, 69, 385, 32, 57, 1395, 1315
50,92,ML,1, 55, 255, 32, 54, 1428, 1331
50,92,distance,1, 55, 255, 33, 54, 1402, 1321
50,92,conflict,1, 58, 269, 34, 57, 1457, 1349
50,92,neighbour,1, 55, 249, 32, 54, 1426, 1332
50,93,ML,1, 49, 225, 31, 48, 1358, 1258
50,93,distance,1, 49, 227, 53, 48, 1387, 1287
50,93,conflict,1, 49, 222, 49, 48, 1466, 1309
50,93,neighbour,1, 51, 228, 50, 50, 1414, 1277
50,94,ML,1, 48, 214, 52, 47, 1269, 1147
50,94,distance,1, 48, 222, 32, 47, 1190, 1116
50,94,conflict,1, 48, 220, 31, 47, 1341, 1175
50,94,neighbour,1, 61, 261, 32, 59, 1397, 1175
50,95,ML,1, 66, 293, 54, 64, 1504, 1324
50,95,distance,1, 52, 232, 32, 51, 1416, 1247
50,95,conflict,1, 51, 234, 31, 50, 1358, 1231
50,95,neighbour,1, 49, 221, 31, 48, 1439, 1289
50,96,ML,1, 56, 258, 32, 55, 1432, 1287
50,96,distance,1, 56, 254, 56, 55, 1468, 1289
50,96,conflict,1, 57, 267, 57, 56, 1461, 1283
50,96,neighbour,1, 57, 261, 32, 56, 1498, 1303
50,97,ML,1, 48, 209, 31, 47, 1342, 1255
50,97,distance,1, 48, 226, 50, 47, 1366, 1263
50,97,conflict,1, 48, 217, 31, 47, 1319, 1245
50,97,neighbour,1, 48, 202, 31, 47, 1333, 1228
50,98,ML,1, 48, 218, 32, 47, 1268, 1205
