Agent,Seed,Heuristic,Solved,HNode,LNode,Time,Makespan,SOC,SOL
50,49,ML,1, 51, 243, 108, 50, 1278, 1117
50,49,distance,1, 49, 225, 1, 48, 1237, 1130
50,49,conflict,1, 51, 245, 1, 48, 1197, 1104
50,49,neighbour,1, 90, 406, 2, 87, 1381, 1275
50,50,ML,1, 54, 249, 69, 53, 1340, 1214
50,50,distance,1, 54, 246, 1, 53, 1274, 1200
50,50,conflict,1, 54, 248, 1, 53, 1352, 1228
50,50,neighbour,1, 58, 271, 1, 55, 1227, 1176
50,51,ML,0,-1,-1,-1,-1,-1,-1
50,51,distance,1, 44, 191, 1, 43, 1211, 1129
50,51,conflict,1, 45, 198, 1, 44, 1282, 1155
50,51,neighbour,1, 68, 317, 1, 66, 1345, 1204
50,52,ML,1, 48, 211, 80, 47, 1191, 1125
50,52,distance,1, 48, 224, 1, 47, 1247, 1117
50,52,conflict,1, 57, 249, 1, 55, 1265, 1177
50,52,neighbour,1, 48, 206, 1, 47, 1204, 1102
50,53,ML,1, 57, 256, 66, 56, 1420, 1232
50,53,distance,1, 55, 252, 1, 54, 1376, 1247
50,53,conflict,1, 55, 249, 1, 54, 1351, 1226
50,53,neighbour,1, 55, 240, 2, 54, 1358, 1221
50,54,ML,1, 45, 194, 67, 44, 1120, 1084
50,54,distance,1, 45, 205, 2, 44, 1129, 1097
50,54,conflict,1, 45, 205, 1, 44, 1153, 1102
50,54,neighbour,1, 50, 221, 1, 49, 1187, 1141
50,55,ML,1, 50, 220, 62, 49, 1421, 1291
50,55,distance,1, 48, 222, 1, 47, 1387, 1267
50,55,conflict,1, 86, 434, 2, 83, 1572, 1420
50,55,neighbour,1, 72, 327, 2, 70, 1577, 1380
50,56,ML,1, 47, 218, 68, 46, 1302, 1199
50,56,distance,1, 47, 215, 2, 46, 1328, 1217
50,56,conflict,1, 48, 216, 2, 47, 1350, 1215
50,56,neighbour,1, 79, 370, 2, 77, 1540, 1256
50,57,ML,1, 50, 228, 73, 49, 1329, 1184
50,57,distance,1, 50, 233, 1, 49, 1290, 1149
50,57,conflict,1, 50, 228, 1, 49, 1338, 1164
50,57,neighbour,1, 62, 281, 1, 61, 1442, 1263
50,58,ML,1, 45, 206, 66, 44, 1359, 1284
50,58,distance,1, 45, 209, 1, 44, 1386, 1328
50,58,conflict,1, 49, 222, 1, 48, 1401, 1328
50,58,neighbour,1, 70, 336, 1, 68, 1376, 1336
50,59,ML,1, 50, 225, 68, 49, 1241, 1137
50,59,distance,1, 50, 226, 2, 49, 1166, 1099
50,59,conflict,1, 50, 226, 1, 49, 1247, 1134
50,59,neighbour,1, 50, 225, 1, 49, 1261, 1106
50,60,ML,1, 41, 180, 80, 40, 1188, 1115
50,60,distance,1, 41, 182, 1, 40, 1205, 1122
50,60,conflict,1, 43, 199, 2, 42, 1230, 1137
50,60,neighbour,1, 42, 191, 2, 41, 1252, 1155
50,61,ML,1, 3276, 97287, 482, 62, 1622, 1408
50,61,distance,1, 54, 253, 1, 53, 1595, 1429
50,61,conflict,1, 54, 236, 2, 53, 1490, 1372
50,61,neighbour,1, 54, 236, 2, 53, 1471, 1367
50,62,ML,1, 45, 199, 78, 44, 1302, 1230
50,62,distance,1, 45, 206, 1, 44, 1197, 1150
50,62,conflict,1, 47, 223, 1, 46, 1242, 1164
50,62,neighbour,1, 89, 513, 3, 74, 1522, 1360
50,63,ML,1, 60, 280, 71, 59, 1445, 1293
50,63,distance,1, 60, 273, 1, 59, 1467, 1301
50,63,conflict,1, 60, 266, 1, 59, 1469, 1318
50,63,neighbour,1, 63, 276, 1, 62, 1477, 1302
50,64,ML,1, 46, 215, 65, 45, 1264, 1170
50,64,distance,1, 44, 199, 1, 43, 1247, 1176
50,64,conflict,1, 45, 200, 1, 44, 1250, 1164
50,64,neighbour,1, 65, 287, 1, 63, 1364, 1252
50,65,ML,1, 44, 199, 63, 43, 1278, 1225
50,65,distance,1, 44, 203, 1, 43, 1231, 1209
50,65,conflict,1, 44, 198, 1, 43, 1220, 1191
50,65,neighbour,1, 49, 208, 1, 47, 1274, 1248
50,66,ML,1, 57, 263, 67, 56, 1312, 1135
50,66,distance,1, 57, 264, 1, 56, 1294, 1135
50,66,conflict,1, 60, 279, 1, 59, 1275, 1124
50,66,neighbour,1, 76, 357, 1, 73, 1395, 1196
50,67,ML,1, 52, 232, 71, 51, 1252, 1125
50,67,distance,1, 52, 243, 2, 51, 1319, 1165
50,67,conflict,1, 54, 241, 1, 53, 1332, 1155
50,67,neighbour,1, 53, 232, 1, 52, 1297, 1153
50,68,ML,1, 44, 195, 69, 43, 1172, 1081
50,68,distance,1, 48, 214, 2, 46, 1226, 1093
50,68,conflict,1, 47, 211, 1, 46, 1194, 1075
50,68,neighbour,1, 46, 197, 2, 45, 1164, 1065
50,69,ML,1, 40, 184, 69, 39, 1252, 1134
