23 , neighbour , HNode: 52, LNode: 229, solved: 131ms, makespan: 51, sum_of_costs: 1481, sum_of_loss: 1304
24 , ML , HNode: 46, LNode: 206, solved: 151ms, makespan: 45, sum_of_costs: 1303, sum_of_loss: 1141
24 , distance , HNode: 46, LNode: 210, solved: 103ms, makespan: 45, sum_of_costs: 1248, sum_of_loss: 1146
24 , conflict , HNode: 46, LNode: 206, solved: 104ms, makespan: 45, sum_of_costs: 1264, sum_of_loss: 1135
24 , neighbour , HNode: 47, LNode: 208, solved: 108ms, makespan: 46, sum_of_costs: 1300, sum_of_loss: 1156
25 , ML , HNode: 57, LNode: 260, solved: 185ms, makespan: 56, sum_of_costs: 1159, sum_of_loss: 1038
25 , distance , HNode: 56, LNode: 260, solved: 141ms, makespan: 55, sum_of_costs: 1209, sum_of_loss: 1069
25 , conflict , HNode: 58, LNode: 264, solved: 161ms, makespan: 57, sum_of_costs: 1154, sum_of_loss: 1053
25 , neighbour , HNode: 56, LNode: 263, solved: 140ms, makespan: 55, sum_of_costs: 1223, sum_of_loss: 1059
26 , ML , HNode: 52, LNode: 234, solved: 179ms, makespan: 51, sum_of_costs: 1314, sum_of_loss: 1157
26 , distance , HNode: 52, LNode: 240, solved: 121ms, makespan: 51, sum_of_costs: 1365, sum_of_loss: 1131
26 , conflict , HNode: 57, LNode: 266, solved: 127ms, makespan: 56, sum_of_costs: 1412, sum_of_loss: 1145
26 , neighbour , HNode: 55, LNode: 243, solved: 121ms, makespan: 54, sum_of_costs: 1288, sum_of_loss: 1128
27 , ML , HNode: 50, LNode: 221, solved: 159ms, makespan: 49, sum_of_costs: 1072, sum_of_loss: 1017
27 , distance , HNode: 50, LNode: 235, solved: 113ms, makespan: 49, sum_of_costs: 1087, sum_of_loss: 1022
27 , conflict , HNode: 50, LNode: 224, solved: 127ms, makespan: 49, sum_of_costs: 1081, sum_of_loss: 1010
27 , neighbour , HNode: 50, LNode: 226, solved: 131ms, makespan: 49, sum_of_costs: 1071, sum_of_loss: 1018
28 , ML , HNode: 45, LNode: 203, solved: 181ms, makespan: 44, sum_of_costs: 1217, sum_of_loss: 1142
28 , distance , HNode: 44, LNode: 207, solved: 111ms, makespan: 43, sum_of_costs: 1228, sum_of_loss: 1156
28 , conflict , HNode: 44, LNode: 200, solved: 103ms, makespan: 43, sum_of_costs: 1259, sum_of_loss: 1170
28 , neighbour , HNode: 44, LNode: 197, solved: 111ms, makespan: 43, sum_of_costs: 1183, sum_of_loss: 1130
29 , ML , HNode: 45, LNode: 209, solved: 160ms, makespan: 44, sum_of_costs: 1159, sum_of_loss: 1032
29 , distance , HNode: 45, LNode: 197, solved: 104ms, makespan: 44, sum_of_costs: 1147, sum_of_loss: 1052
29 , conflict , HNode: 46, LNode: 207, solved: 105ms, makespan: 45, sum_of_costs: 1174, sum_of_loss: 1050
29 , neighbour , HNode: 45, LNode: 197, solved: 102ms, makespan: 44, sum_of_costs: 1184, sum_of_loss: 1050
30 , ML , HNode: 41, LNode: 185, solved: 142ms, makespan: 40, sum_of_costs: 1190, sum_of_loss: 1092
30 , distance , HNode: 45, LNode: 206, solved: 107ms, makespan: 43, sum_of_costs: 1167, sum_of_loss: 1101
30 , conflict , HNode: 43, LNode: 204, solved: 116ms, makespan: 42, sum_of_costs: 1205, sum_of_loss: 1110
30 , neighbour , HNode: 46, LNode: 201, solved: 126ms, makespan: 45, sum_of_costs: 1178, sum_of_loss: 1097
31 , ML , HNode: 52, LNode: 234, solved: 190ms, makespan: 51, sum_of_costs: 1267, sum_of_loss: 1163
31 , distance , HNode: 52, LNode: 233, solved: 125ms, makespan: 51, sum_of_costs: 1242, sum_of_loss: 1151
31 , conflict , HNode: 54, LNode: 236, solved: 123ms, makespan: 53, sum_of_costs: 1250, sum_of_loss: 1157
31 , neighbour , HNode: 77, LNode: 327, solved: 170ms, makespan: 73, sum_of_costs: 1545, sum_of_loss: 1335
32 , ML , HNode: 45, LNode: 204, solved: 150ms, makespan: 44, sum_of_costs: 1357, sum_of_loss: 1288
32 , distance , HNode: 45, LNode: 212, solved: 101ms, makespan: 44, sum_of_costs: 1371, sum_of_loss: 1294
32 , conflict , HNode: 46, LNode: 213, solved: 104ms, makespan: 45, sum_of_costs: 1345, sum_of_loss: 1259
32 , neighbour , HNode: 78, LNode: 361, solved: 178ms, makespan: 76, sum_of_costs: 1527, sum_of_loss: 1349
33 , ML , HNode: 50, LNode: 229, solved: 187ms, makespan: 49, sum_of_costs: 1277, sum_of_loss: 1131
33 , distance , HNode: 50, LNode: 232, solved: 131ms, makespan: 49, sum_of_costs: 1257, sum_of_loss: 1143
33 , conflict , HNode: 50, LNode: 226, solved: 124ms, makespan: 49, sum_of_costs: 1268, sum_of_loss: 1143
33 , neighbour , HNode: 50, LNode: 228, solved: 118ms, makespan: 49, sum_of_costs: 1229, sum_of_loss: 1134
34 , ML , HNode: 52, LNode: 228, solved: 164ms, makespan: 51, sum_of_costs: 1360, sum_of_loss: 1255
34 , distance , HNode: 52, LNode: 234, solved: 115ms, makespan: 51, sum_of_costs: 1271, sum_of_loss: 1224
34 , conflict , HNode: 52, LNode: 226, solved: 117ms, makespan: 51, sum_of_costs: 1355, sum_of_loss: 1243
34 , neighbour , HNode: 52, LNode: 239, solved: 116ms, makespan: 51, sum_of_costs: 1335, sum_of_loss: 1241
35 , ML , HNode: 47, LNode: 212, solved: 158ms, makespan: 46, sum_of_costs: 1422, sum_of_loss: 1284
35 , distance , HNode: 47, LNode: 213, solved: 112ms, makespan: 46, sum_of_costs: 1380, sum_of_loss: 1272
35 , conflict , HNode: 48, LNode: 216, solved: 115ms, makespan: 47, sum_of_costs: 1371, sum_of_loss: 1255
35 , neighbour , HNode: 50, LNode: 217, solved: 127ms, makespan: 49, sum_of_costs: 1401, sum_of_loss: 1302
36 , ML , HNode: 52, LNode: 240, solved: 199ms, makespan: 51, sum_of_costs: 1281, sum_of_loss: 1189
36 , distance , HNode: 49, LNode: 220, solved: 123ms, makespan: 48, sum_of_costs: 1292, sum_of_loss: 1212
36 , conflict , HNode: 49, LNode: 226, solved: 114ms, makespan: 48, sum_of_costs: 1292, sum_of_loss: 1198
36 , neighbour , HNode: 52, LNode: 234, solved: 119ms, makespan: 51, sum_of_costs: 1265, sum_of_loss: 1202
37 , ML , HNode: 52, LNode: 243, solved: 162ms, makespan: 51, sum_of_costs: 1425, sum_of_loss: 1201
37 , distance , HNode: 50, LNode: 233, solved: 112ms, makespan: 49, sum_of_costs: 1458, sum_of_loss: 1251
37 , conflict , HNode: 53, LNode: 240, solved: 132ms, makespan: 52, sum_of_costs: 1482, sum_of_loss: 1238
37 , neighbour , HNode: 71, LNode: 314, solved: 182ms, makespan: 70, sum_of_costs: 1613, sum_of_loss: 1362
38 , ML , HNode: 46, LNode: 207, solved: 189ms, makespan: 45, sum_of_costs: 1310, sum_of_loss: 1250
38 , distance , HNode: 46, LNode: 212, solved: 118ms, makespan: 45, sum_of_costs: 1305, sum_of_loss: 1246
38 , conflict , HNode: 46, LNode: 219, solved: 109ms, makespan: 45, sum_of_costs: 1293, sum_of_loss: 1236
38 , neighbour , HNode: 47, LNode: 214, solved: 111ms, makespan: 46, sum_of_costs: 1338, sum_of_loss: 1240
39 , ML , HNode: 49, LNode: 220, solved: 156ms, makespan: 48, sum_of_costs: 1371, sum_of_loss: 1250
39 , distance , HNode: 47, LNode: 214, solved: 106ms, makespan: 46, sum_of_costs: 1339, sum_of_loss: 1221
39 , conflict , HNode: 47, LNode: 209, solved: 106ms, makespan: 46, sum_of_costs: 1432, sum_of_loss: 1265
39 , neighbour , HNode: 69, LNode: 295, solved: 149ms, makespan: 66, sum_of_costs: 1447, sum_of_loss: 1253
40 , ML , HNode: 46, LNode: 198, solved: 167ms, makespan: 45, sum_of_costs: 1268, sum_of_loss: 1139
40 , distance , HNode: 46, LNode: 202, solved: 124ms, makespan: 45, sum_of_costs: 1361, sum_of_loss: 1194
40 , conflict , HNode: 46, LNode: 210, solved: 131ms, makespan: 45, sum_of_costs: 1319, sum_of_loss: 1149
40 , neighbour , HNode: 65, LNode: 268, solved: 162ms, makespan: 64, sum_of_costs: 1358, sum_of_loss: 1224
41 , ML , HNode: 45, LNode: 201, solved: 161ms, makespan: 44, sum_of_costs: 1231, sum_of_loss: 1145
41 , distance , HNode: 45, LNode: 207, solved: 106ms, makespan: 44, sum_of_costs: 1215, sum_of_loss: 1135
41 , conflict , HNode: 51, LNode: 234, solved: 114ms, makespan: 48, sum_of_costs: 1217, sum_of_loss: 1153
41 , neighbour , HNode: 61, LNode: 290, solved: 133ms, makespan: 58, sum_of_costs: 1303, sum_of_loss: 1217
42 , ML , HNode: 51, LNode: 237, solved: 160ms, makespan: 50, sum_of_costs: 1224, sum_of_loss: 1162
42 , distance , HNode: 51, LNode: 227, solved: 121ms, makespan: 50, sum_of_costs: 1194, sum_of_loss: 1134
42 , conflict , HNode: 53, LNode: 244, solved: 138ms, makespan: 52, sum_of_costs: 1210, sum_of_loss: 1151
42 , neighbour , HNode: 51, LNode: 229, solved: 142ms, makespan: 50, sum_of_costs: 1184, sum_of_loss: 1111
43 , ML , HNode: 46, LNode: 206, solved: 173ms, makespan: 45, sum_of_costs: 1285, sum_of_loss: 1181
43 , distance , HNode: 48, LNode: 212, solved: 120ms, makespan: 47, sum_of_costs: 1378, sum_of_loss: 1251
43 , conflict , HNode: 46, LNode: 204, solved: 103ms, makespan: 45, sum_of_costs: 1294, sum_of_loss: 1206
43 , neighbour , HNode: 65, LNode: 270, solved: 141ms, makespan: 63, sum_of_costs: 1442, sum_of_loss: 1320
44 , ML , HNode: 43, LNode: 201, solved: 151ms, makespan: 42, sum_of_costs: 1081, sum_of_loss: 1018
44 , distance , HNode: 42, LNode: 178, solved: 96ms, makespan: 41, sum_of_costs: 1077, sum_of_loss: 1044
